621
14
2,0,0,3,14,9,0,2,2,0,2,3,0,0,2
0,46.67,0.46,1,12,7,0.415,1,1,11,1,1,440,7,1
1,33.75,2.75,1,2,4,0,0,0,0,0,1,180,1,0
1,21.25,1.5,1,8,3,1.5,0,0,0,0,1,150,9,1
1,31.08,1.5,0,8,3,0.04,0,0,0,0,0,160,1,0
0,27.33,1.665,1,0,0,0,0,0,0,0,1,340,2,0
0,30.5,6.5,1,7,4,4,1,1,7,1,1,0,3066,1
1,31.58,0.75,0,5,3,3.5,0,0,0,1,1,320,1,0
1,35.17,4.5,1,13,7,5.75,0,0,0,1,0,711,1,1
0,24.08,0.5,1,10,7,1.25,1,1,1,0,1,0,679,1
1,20.5,2.415,1,7,3,2,1,1,11,1,1,200,3001,1
1,17.5,22,2,0,6,0,0,0,0,1,2,450,100001,1
1,20.17,8.17,1,5,3,1.96,1,1,14,0,1,60,159,1
1,18.17,2.46,1,7,6,0.96,0,1,2,1,1,160,588,0
0,16.5,1.25,1,10,3,0.25,0,1,1,0,1,108,99,0
1,31.25,2.835,1,0,0,0,0,1,5,0,1,176,147,0
1,21.92,0.54,0,13,3,0.04,1,1,1,1,1,840,60,1
0,30.25,5.5,1,3,3,5.5,0,0,0,1,0,100,1,0
1,19.58,0.585,1,0,0,0,0,1,3,0,1,350,770,0
1,16.92,0.335,0,3,3,0.29,0,0,0,0,0,200,1,0
1,22.17,0.585,0,0,0,0,0,0,0,0,1,100,1,0
0,20.83,0.5,0,9,1,1,0,0,0,0,1,260,1,0
0,41.17,6.5,1,10,3,0.5,1,1,3,1,1,145,1,1
1,25.17,3,1,7,3,1.25,0,1,1,0,1,0,23,0
0,47,13,1,2,4,5.165,1,1,9,1,1,0,1,1
1,38.92,1.75,1,3,3,0.5,0,0,0,1,1,300,3,0
1,32.33,3.5,1,3,3,0.5,0,0,0,1,1,232,1,0
0,26.58,2.54,0,0,0,0,0,0,0,1,1,180,61,0
1,28,2,1,3,7,4.165,1,1,2,1,1,181,1,1
1,55.92,11.5,1,0,0,5,1,1,5,0,1,0,8852,1
0,58.67,4.46,1,10,7,3.04,1,1,6,0,1,43,561,1
1,22.67,2.54,0,7,7,2.585,1,0,0,0,1,0,1,1
1,34.17,2.75,1,2,4,2.5,0,0,0,1,1,232,201,0
1,27.83,1.5,1,8,3,2.25,0,1,1,1,1,100,4,0
1,20.42,7,1,7,3,1.625,1,1,3,0,1,200,1392,1
1,28.92,0.375,1,7,3,0.29,0,0,0,0,1,220,141,0
0,18.58,10,1,1,3,0.415,0,0,0,0,1,80,43,0
0,19.17,5.415,1,2,7,0.29,0,0,0,0,1,80,485,0
1,45.17,1.5,1,7,3,2.5,1,0,0,1,1,140,1,0
0,25,0.875,1,13,7,1.04,1,0,0,1,1,160,5861,1
1,23.58,1.79,1,7,3,0.54,0,0,0,1,1,136,2,0
1,51.33,10,1,2,4,0,1,1,11,0,1,0,1250,1
1,25.58,0.335,1,3,7,3.5,0,0,0,1,1,340,1,0
1,24.42,2,1,9,1,0.165,0,1,2,0,1,320,1301,0
1,20,11.045,1,7,3,2,0,0,0,1,1,136,1,0
1,25.83,12.835,1,12,3,0.5,0,0,0,0,1,0,3,0
1,43.25,25.21,1,10,7,0.21,1,1,1,0,1,760,91,0
1,25.17,3.5,1,12,3,0.625,1,1,7,0,1,0,7060,1
0,19.58,0.665,0,7,3,1,0,1,1,0,1,2000,3,0
0,19.17,8.585,1,12,7,0.75,1,1,7,0,1,96,1,1
1,29.58,4.5,1,8,3,7.5,1,1,2,1,1,330,1,1
1,35.17,25.125,1,13,7,1.625,1,1,1,1,1,515,501,1
1,28,3,1,8,3,0.75,0,0,0,1,1,300,68,0
0,23.5,9,1,10,3,8.5,1,1,5,1,1,120,1,1
1,34.75,15,1,11,6,5.375,1,1,9,1,1,0,135,1
1,29.67,0.75,0,7,3,0.04,0,0,0,0,1,240,1,0
0,23.75,0.71,1,8,3,0.25,0,1,1,1,1,240,5,0
1,27,0.75,1,7,7,4.25,1,1,3,1,1,312,151,1
1,25,11.25,1,7,3,2.5,1,1,17,0,1,200,1209,1
0,40.83,10,1,10,7,1.75,1,0,0,0,1,29,838,1
1,56,12.5,1,3,7,8,1,0,0,1,1,24,2029,1
1,36.25,5,1,7,4,2.5,1,1,6,0,1,0,368,1
1,20.67,1.25,0,7,7,1.375,1,1,3,1,1,140,211,0
1,25.92,0.875,1,3,3,0.375,0,1,2,1,1,174,4,0
1,22.67,10.5,1,10,7,1.335,1,0,0,0,1,100,1,1
1,39.58,13.915,1,8,3,8.625,1,1,6,1,1,70,1,1
0,28.5,3.04,0,13,7,2.54,1,1,1,0,1,70,1,1
0,22.58,10.75,1,10,3,0.415,1,1,5,1,1,0,561,1
0,35.17,3.75,1,0,0,0,0,1,6,0,1,0,201,0
0,18.25,10,1,8,3,1,0,1,1,0,1,120,2,0
1,39.92,0.54,0,5,3,0.5,1,1,3,0,1,200,1001,1
1,38.42,0.705,1,7,3,0.375,0,1,2,0,1,225,501,0
1,51.42,0.04,1,13,7,0.04,1,0,0,0,1,0,3001,1
